ocean,sea,Lat,Lon
Arctic Ocean,Amundsen Gulf,71.53684993968291,-123.2861805904613
Arctic Ocean,Arctic Ocean,73.78201128406337,159.80840391295044
Arctic Ocean,Baffin Bay,67.01195526123047,-63.26223364025688
Arctic Ocean,Barents Sea,77.48304080179985,65.2088290429502
Arctic Ocean,Beaufort Sea,73.92797349994366,-124.28405455808293
Arctic Ocean,Bering Strait,65.80797722852569,-169.0094084341195
Arctic Ocean,Chukchi Sea,69.79742790028553,178.90745313803816
Arctic Ocean,East Siberian Sea,75.29425835650203,144.16386959698696
Arctic Ocean,Foxe Basin,66.43036068678819,-84.12096681337465
Arctic Ocean,Greenland Sea,79.42676657837573,11.248891055213925
Arctic Ocean,Gulf of Boothia,72.45389984897449,-93.7863820849231
Arctic Ocean,Hudson Bay,63.641945619019545,-84.90263395873033
Arctic Ocean,Hudson Strait,64.66841294249083,-74.2876562918386
Arctic Ocean,James Bay,54.41473585069715,-79.4797570371156
Arctic Ocean,Kane Basin,78.92254445405133,-76.52628330635814
Arctic Ocean,Kara Sea,79.43555137246175,93.916516875995
Arctic Ocean,Laptev Sea,75.2193859365959,137.18725528190075
Arctic Ocean,Larsen Sound,70.36890646440531,-96.77369992837534
Arctic Ocean,Lincoln Sea,82.18086923087837,-49.28429456300373
Arctic Ocean,McClintok Channel,72.57173315491022,-101.93377725077562
Arctic Ocean,McClure Strait,75.83884414314055,-120.27920337725998
Arctic Ocean,Northwest Passages,66.2725391185105,-84.52319788934915
Arctic Ocean,Prince Gustaf Adolf Sea,78.71346004554509,-104.16027341936736
Arctic Ocean,Queen Maud Gulf,68.71880913985727,-98.49533354516487
Arctic Ocean,Viscount Melville Sound,74.35573739662101,-110.98617154875463
Arctic Ocean,White Sea,64.21934329000578,35.83425071838886
Caspian Sea,Caspian Sea,46.11376591761846,52.09543495461551
Indian Ocean,Andaman Sea,16.76959072380209,97.34537245950801
Indian Ocean,Arabian Sea,10.788033625020267,51.21751218582012
Indian Ocean,Bay of Bengal,22.78051787015311,91.13538747910513
Indian Ocean,Great Australian Bight,-32.84761888107341,124.9284581035173
Indian Ocean,Gulf of Aden,12.723824116917655,44.45741495933617
Indian Ocean,Gulf of Aqaba,28.55591549337147,34.728804726182574
Indian Ocean,Gulf of Oman,25.66926309834165,57.88182454708677
Indian Ocean,Gulf of Suez,29.44559933028244,32.81155342869905
Indian Ocean,Indian Ocean,-67.39280175500984,144.0525624062749
Indian Ocean,Joseph Bonaparte Gulf,-14.592620912888957,129.65284631976442
Indian Ocean,Laccadive Sea,12.057903378606548,75.26737501530768
Indian Ocean,Mozambique Channel,-23.292415631091757,35.45816346845583
Indian Ocean,Palk Strait,8.936496557260527,78.46638204188173
Indian Ocean,Persian Gulf,25.29733321730707,55.33006214020349
Indian Ocean,Red Sea,22.92052897960546,38.90024357234321
Indian Ocean,Savu Sea,-8.754882430980798,119.81909312886778
Indian Ocean,Spencer Gulf,-34.48520278284835,136.12250040024182
Indian Ocean,Strait of Hormuz,27.01262738273908,56.1428955829663
Indian Ocean,Strait of Malacca,6.0019922767194345,100.21104045993756
Indian Ocean,Suez Canal,30.503584226083834,32.438996862439176
Indian Ocean,Timor Sea,-14.43323423222133,125.71711576625279
North Atlantic Ocean,Adriatic Sea,45.611606821141066,13.493267642455248
North Atlantic Ocean,Aegean Sea,40.787709222925116,25.90116244357738
North Atlantic Ocean,Balearic Sea,39.75319801947575,2.8590276943721085
North Atlantic Ocean,Baltic Sea,55.2018895651274,10.444265305225459
North Atlantic Ocean,Bay of Biscay,47.81809657765613,-3.8546335286293982
North Atlantic Ocean,Bay of Fundy,44.917851689846415,-67.09644832961197
North Atlantic Ocean,Bight of Benin,6.408605815971083,3.009055647121937
North Atlantic Ocean,Black Sea,41.22661160798052,37.097374857769
North Atlantic Ocean,Bristol Channel,51.59000099931388,-3.95178060608211
North Atlantic Ocean,Caribbean Sea,22.455551048578275,-81.98930084575467
North Atlantic Ocean,Celtic Sea,51.537224404763855,-9.21752731624151
North Atlantic Ocean,Cumberland Sound,64.58772972106934,-65.46998724195693
North Atlantic Ocean,Davis Strait,67.75389123016289,-52.83574592027088
North Atlantic Ocean,Denmark Strait,66.24305494196169,-22.715344797644857
North Atlantic Ocean,English Channel,48.75240069152554,-3.264648918680811
North Atlantic Ocean,Golfo di Taranto,40.11261117632807,17.175655357700506
North Atlantic Ocean,Gulf of Bothnia,65.72572212427691,22.41884690998682
North Atlantic Ocean,Gulf of Finland,59.859977049595265,22.88136257793579
North Atlantic Ocean,Gulf of Guinea,1.1486509533985827,5.203296697922271
North Atlantic Ocean,Gulf of Lion,42.83564597754129,3.1317295113921664
North Atlantic Ocean,Gulf of Mexico,21.51247472838154,-87.71592532180426
North Atlantic Ocean,Gulf of Riga,58.736087664633594,23.604293270783277
North Atlantic Ocean,Gulf of Saint Lawrence,51.77203665863672,-55.74141984577393
North Atlantic Ocean,Gulf of Sidra,30.824889940630378,19.29805384814177
North Atlantic Ocean,Ionian Sea,39.87362318295323,19.61377829084349
North Atlantic Ocean,Irish Sea,54.68281821651134,-4.7805815846675115
North Atlantic Ocean,Kattegat,57.87795643906029,11.81203477437314
North Atlantic Ocean,Labrador Sea,65.70818365873669,-61.14529866149276
North Atlantic Ocean,Ligurian Sea,44.22259863450433,9.20751576883751
North Atlantic Ocean,Mediterranean Sea,33.37266922988528,11.176638764832445
North Atlantic Ocean,North Atlantic Ocean,68.21643408074333,-31.495661000545805
North Atlantic Ocean,North Sea,61.10374475883194,7.065171917913421
